feature,enrich_group,ef_lda,pvalue,padj
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Odoribacteraceae]|g__Butyricimonas,healthy,2.47744648,0.02745075,0.02745075
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Odoribacteraceae]|g__Butyricimonas|s__un_g__Butyricimonas,healthy,2.47744648,0.02745075,0.02745075
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Marinilabiaceae|g__Anaerophaga|s__thermohalophila,healthy,2.47696354,0.42698,0.42698
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Marinilabiaceae|g__Anaerophaga,healthy,2.47504585,0.42698,0.42698
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Comamonas|s__un_g__Comamonas,healthy,2.47291075,0.2769342,0.2769342
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Dehalobacteriaceae,healthy,2.47018368,0.0003581732,0.0003581732
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Dehalobacteriaceae|g__Dehalobacterium,healthy,2.47018368,0.0003581732,0.0003581732
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Dehalobacteriaceae|g__Dehalobacterium|s__un_g__Dehalobacterium,healthy,2.47018368,0.0003581732,0.0003581732
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Clostridium_f__Ruminococcaceae|s__cellobioparum,healthy,2.45377286,0.240747,0.240747
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus_f__Bacillaceae|s__bataviensis,healthy,2.44430124,0.4973773,0.4973773
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__infantis,healthy,2.40830435,0.6198474,0.6198474
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia,healthy,2.40279471,0.8239238,0.8239238
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__un_g__Burkholderia,healthy,2.40279471,0.8239238,0.8239238
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae,healthy,2.40269301,0.8191635,0.8191635
